Rank,Rider,RiderNo.,Team,Times,Gap,B,P
62,LUISANGELMATEMARDONES,218,EUSKALTEL-EUSKADI,83h11'51'',+02h44'52'',B:3'',-

63,OMERGOLDSTEIN,106,ISRAEL-PREMIERTECH,83h18'37'',+02h51'38'',-,-

64,KENNYELISSONDE,163,TREK-SEGAFREDO,83h27'23'',+03h00'24'',B:1'',-

65,HAROLDALFONSOTEJADA,28,ASTANAQAZAQSTANTEAM,83h28'53'',+03h01'54'',-,-

66,URKOBERRADEFERNANDEZ,202,EQUIPOKERNPHARMA,83h33'37'',+03h06'38'',-,-

67,FREDWRIGHT,37,BAHRAINVICTORIOUS,83h34'50'',+03h07'51'',B:20'',-

68,JESUSEZQUERRAMUELA,194,BURGOS-BH,83h36'06'',+03h09'07'',-,-

69,JONATHANCAICEDO,62,EFEDUCATION-EASYPOST,83h37'32'',+03h10'33'',B:2'',-

70,BRANDONMCNULTY,176,UAETEAMEMIRATES,83h40'17'',+03h13'18'',B:1'',-

71,ALEXEYLUTSENKO,25,ASTANAQAZAQSTANTEAM,83h41'21'',+03h14'22'',B:1'',-

72,BENTURNER,88,INEOSGRENADIERS,83h42'33'',+03h15'34'',-,-

73,NICOLASPRODHOMME,16,AG2RCITROENTEAM,83h43'02'',+03h16'03'',-,-

74,MARCOBRENNER,153,TEAMDSM,83h46'53'',+03h19'54'',-,-

75,PATRICKBEVIN,102,ISRAEL-PREMIERTECH,83h47'36'',+03h20'37'',-,-

76,GOTZONMARTINSANZ,217,EUSKALTEL-EUSKADI,83h49'02'',+03h22'03'',-,-

77,VOJTĚCHŘEPA,208,EQUIPOKERNPHARMA,83h54'41'',+03h27'42'',-,-

78,LUCASHAMILTON,145,TEAMBIKEEXCHANGE-JAYCO,83h55'53'',+03h28'54'',-,-

79,MERHAWIGHEBREMEDHIN,65,EFEDUCATION-EASYPOST,83h56'59'',+03h30'00'',-,-

80,THOMASDEGENDT,111,LOTTOSOUDAL,84h00'26'',+03h33'27'',B:3'',-

81,ROBERTSTANNARD,185,ALPECIN-DECEUNINCK,84h00'43'',+03h33'44'',B:3'',-

82,GIANNIVERMEERSCH,187,ALPECIN-DECEUNINCK,84h09'47'',+03h42'48'',B:4'',-

83,JOANBOUCOMPANY,214,EUSKALTEL-EUSKADI,84h10'13'',+03h43'14'',B:3'',-

84,CARLOSCANALBLANCO,215,EUSKALTEL-EUSKADI,84h10'35'',+03h43'36'',-,-

85,JASHASÜTTERLIN,36,BAHRAINVICTORIOUS,84h11'27'',+03h44'28'',-,-

86,IBAIAZURMENDISAGASTIBELTZA,213,EUSKALTEL-EUSKADI,84h15'05'',+03h48'06'',-,-

87,JAMESSHAW,67,EFEDUCATION-EASYPOST,84h15'56'',+03h48'57'',-,-

88,JULIENBERNARD,161,TREK-SEGAFREDO,84h18'01'',+03h51'02'',-,-

89,JETSEBOL,191,BURGOS-BH,84h18'26'',+03h51'27'',-,-

90,LUKASZOWSIAN,226,TEAMARKEA-SAMSIC,84h18'49'',+03h51'50'',-,-

91,MIKETEUNISSEN,8,JUMBO-VISMA,84h19'28'',+03h52'29'',-,-

92,ANTONIOTIBERI,168,TREK-SEGAFREDO,84h19'57'',+03h52'58'',B:2'',-

93,MIKELITURRIASEGUROLA,216,EUSKALTEL-EUSKADI,84h24'27'',+03h57'28'',-,-

94,XABIERMIKELAZPARRENIRURZUN,212,EUSKALTEL-EUSKADI,84h26'56'',+03h59'57'',-,-

95,LUCASPLAPP,85,INEOSGRENADIERS,84h27'03'',+04h00'04'',-,-

96,ANDEROKAMIKABENGOETXEA,197,BURGOS-BH,84h28'38'',+04h01'39'',B:7'',-

97,JUANPEDROLOPEZPEREZ,166,TREK-SEGAFREDO,84h30'38'',+04h03'39'',-,-

98,THOMASCHAMPION,54,COFIDIS,84h34'56'',+04h07'57'',B:1'',-

99,JONASKOCH,46,BORA-HANSGROHE,84h35'47'',+04h08'48'',-,-

100,DRIESDEVENYNS,133,QUICK-STEPALPHAVINYLTEAM,84h36'14'',+04h09'15'',-,-

101,DARYLIMPEY,108,ISRAEL-PREMIERTECH,84h37'51'',+04h10'52'',B:6'',-

102,MADSPEDERSEN,167,TREK-SEGAFREDO,84h41'47'',+04h14'48'',B:1'',-

103,ALESSANDRODEMARCHI,103,ISRAEL-PREMIERTECH,84h43'05'',+04h16'06'',-,-

104,RÉMICAVAGNA,132,QUICK-STEPALPHAVINYLTEAM,84h43'32'',+04h16'33'',-,-

105,FRANCISCOGALVANFERNANDEZ,204,EQUIPOKERNPHARMA,84h43'49'',+04h16'50'',-,-

106,JORISNIEUWENHUIS,157,TEAMDSM,84h46'28'',+04h19'29'',B:2'',-

107,JIMMYJANSSENS,183,ALPECIN-DECEUNINCK,84h50'19'',+04h23'20'',B:2'',-

108,CEDRICBEULLENS,112,LOTTOSOUDAL,84h52'22'',+04h25'23'',-,-

109,MILESSCOTSON,77,GROUPAMA-FDJ,84h54'34'',+04h27'35'',-,-

110,JONASIVERSBYHVIDEBERG,156,TEAMDSM,85h00'11'',+04h33'12'',-,-

111,PASCALACKERMANN,172,UAETEAMEMIRATES,85h00'22'',+04h33'23'',B:14'',-

112,LUKEDURBRIDGE,143,TEAMBIKEEXCHANGE-JAYCO,85h02'37'',+04h35'38'',-,-

113,KADENGROVES,144,TEAMBIKEEXCHANGE-JAYCO,85h04'59'',+04h38'00'',B:10'',-

114,CHRISFROOME,105,ISRAEL-PREMIERTECH,85h06'30'',+04h39'31'',-,-

115,ANTOINERAUGEL,17,AG2RCITROENTEAM,85h08'38'',+04h41'39'',-,-

116,CLÉMENTRUSSO,227,TEAMARKEA-SAMSIC,85h09'14'',+04h42'15'',-,-

117,DARIOCATALDO,162,TREK-SEGAFREDO,85h15'06'',+04h48'07'',-,-

118,MICHAELHEPBURN,146,TEAMBIKEEXCHANGE-JAYCO,85h15'16'',+04h48'17'',-,-

119,ALEXKIRSCH,165,TREK-SEGAFREDO,85h17'16'',+04h50'17'',-,-

120,DANIELMCLAY,225,TEAMARKEA-SAMSIC,85h17'40'',+04h50'41'',B:4'',-

121,DANNYVANPOPPEL,48,BORA-HANSGROHE,85h18'48'',+04h51'49'',B:10'',-

122,FABIANLIENHARD,73,GROUPAMA-FDJ,85h20'55'',+04h53'56'',-,-

123,YEVGENIYFEDOROV,24,ASTANAQAZAQSTANTEAM,85h21'31'',+04h54'32'',-,-

124,JOHNDEGENKOLB,154,TEAMDSM,85h23'39'',+04h56'40'',-,-

125,KAMILMALECKI,116,LOTTOSOUDAL,85h27'04'',+05h00'05'',-,-

126,JUANSEBASTIANMOLANOBENAVIDES,177,UAETEAMEMIRATES,85h36'30'',+05h09'31'',B:10'',-

127,LIONELTAMINIAUX,186,ALPECIN-DECEUNINCK,85h38'19'',+05h11'20'',B:1'',-

128,RYANMULLEN,47,BORA-HANSGROHE,85h40'46'',+05h13'47'',B:2'',-

129,JULIUSJOHANSEN,93,INTERMARCHE-WANTY-GOBERTMATERIAUX,85h41'16'',+05h14'17'',-,-

130,JULIUSVANDENBERG,68,EFEDUCATION-EASYPOST,85h42'42'',+05h15'43'',B:1'',-

131,IVOMANUELALVESOLIVEIRA,173,UAETEAMEMIRATES,85h46'54'',+05h19'55'',-,-

132,TIMMERLIER,181,ALPECIN-DECEUNINCK,85h48'22'',+05h21'23'',B:8'',-

133,LUISGUILLERMOMAS,123,MOVISTARTEAM,85h54'41'',+05h27'42'',-,-

134,DAVIDECIMOLAI,53,COFIDIS,85h58'25'',+05h31'26'',-,-
